Day	Start Time	End Time	Room	Genra	Panel Title	Panel Description	Panel participants
Fri	09:30:00 PM	10:30:00 PM	Edina	TV	Torchwood	Beyond the government, yada yada yada. Basically, this is an hour long opportunity to squee over Ianto, Captain Jack, and Captain John. Oh and talk about how much an improvement the second series was over the first as well.	Christa Dickson, James Gottfried, Mara Kapp, Charlie Paulsen, Lynne Thomas, Dayna Jean Wolter
Fri	09:30:00 PM	10:30:00 PM	P1	AV	Star Trek Remastered	The original Star Trek series is airing across the country in high-definition with enhanced special effects. Learn about the genesis of this project and what could have been...	Daren Dochterman, Robert Meyer Burnett
Fri	11:00:00 PM	11:59:00 PM	A3	Arts	Sophisticated Sewing	Sewing and tailoring tips from experienced costumers. How to get the effects you want, and make your costumes really stand out.	Bill Hedrick, Deborah Jones, Rhiannon Jones, Gwen Kachelmyer, Rae Lundquist
Fri	11:00:00 PM	11:59:00 PM	A4	HotDish	The Pun-El	We're baaack! Our yearly painful Punnel voyage returns. Be afraid. Be very afraid.	Ed Eastman, Boris Smelov
Fri	11:00:00 PM	11:59:00 PM	A6	Lit	Guilty Pleasures	The long requested return of a CONvergence favorite. Come clean and share your literary guilty pleasures with everyone!	Nessa Fedde, Doug Texter, Heidi Waterhouse, Karl Wolff
Fri	11:00:00 PM	11:59:00 PM	A8	HotDish	How to Take Over the World!	Join some super-villain panelists and learn the proper way to take over the world. We'll explain our plan in detail to you and entertain suggestions (but not if you're a tied-up superhero - we're smarter than that!)	Cynthia Booth, Roy C. Booth, Eve Cain, Amada Marquez, Chris Pasquarette
Fri	11:00:00 PM	11:59:00 PM	Bloom	Movies	Sci-fi Saturdays	Believe it or not, made-for-TV movies like Mansquito are some of the highest rated fare on the network and sell reasonably well on DVD as well. Who’s watching these movies and why? Does it go beyond typical MST3K train-wreck fascination? What are some of your favorite classic B-Movies?	Michael Beitscher, Paul Harmeyer, Alexandra Howes, Taylor Kent, Karen Joan Kohoutek, George Richard
Fri	11:00:00 PM	11:59:00 PM	Edina	TV	Rebirth of the Heroine	While not quite up to the Xena glory days of the late 1990's - has there finally been a feminist resurgence of television heroines as of late with Sarah Connor, the Bionic Woman, and others? Or are we seeing watered-down Ghost Whisperers?	Jen Manna, Charlotte Nickerson, Greg Weisman
Fri	11:00:00 PM	11:59:00 PM	LL	Lit	Friday Night Bedtime Stories with the 'Pods	Escape Pod, Pseudo Pod, and Pod Castle ... three weekly audio casts from the Escape Artists! Come and listen to a bed-time story with some of the latest and greatest of these audio giants of Science Fiction, Horror, and Fantasy! Join us on the 22nd floor in 2201 for back-to-back stories of speculation, fantasy, and fun. Wear your fluffy bunny slippers and bathrobe, if you like ... just come prepared to listen to some really great tales of modern SF!	Dave Rust
Fri	11:00:00 PM	11:59:00 PM	MnStg	MainStg	Soylent Blue	Soylent Blue returns!	Kelvin Hatle, ASL Interpreter, Video Team
Sat	09:30:00 AM	10:30:00 AM	A3	Arts	Drawing with Christopher Jones	Adults and kids alike are welcome to spend an hour with Christopher Jones, either drawing or listening to Chris' stories about his work in comics or creating artwork for CONvergence.	Christopher Jones
Sat	09:30:00 AM	10:30:00 AM	A4	HotDish	Aerobics with Cleo	Join Cleo on Saturday morning for our annual aerobics fitness panel. Bring your workout shoes and dress comfortably. Fun music and a supportive atmosphere supplied, you bring the rest!	Amada Marquez
